peptide,gene_short_name,state,pvalue,effect
NXPH1|P58417,NXPH1,2,0.913789989403316,0.0241985230162328
PLXNB1|O43157,PLXNB1,2,0.588690062556242,0.0282576218924974
CBARP|Q8N350,CBARP,2,0.922796952636041,-0.0275877457155328
RPH3A|Q9Y2J0,RPH3A,2,0.713600968172205,-0.0301582881149026
AMPD2|Q01433,AMPD2,2,0.0010946993165124,0.0764694887279095
TMEM63C|Q9P1W3,TMEM63C,2,5.2493711426127e-05,0.0875142898054454
ABCC5|O15440,ABCC5,2,0.999848509360603,0.00786234707562163
VPS39|Q96JC1-2,VPS39,2,0.709654049094742,0.0155029142216978
PLEC|Q15149-8,PLEC,2,0.577553652133991,0.0807659153141849
MAP3K5|Q99683,MAP3K5,2,0.153006549955033,0.0339108350320083
PALM3|A6NDB9,PALM3,2,5.0264263315114e-05,0.107802153032861
RPS8|P62241,RPS8,2,0.682661256600338,-0.0223322839615115
HSPB1|P04792,HSPB1,2,0.000121767238550174,0.191287946127673
DBT|P11182,DBT,2,0.997635318670882,0.00785977354866647
RPL10|P27635,RPL10,2,0.993780169097454,-0.00942626562017845
CD109|Q6YHK3,CD109,2,0.680285865062261,0.0482157121309176
VGF|O15240,VGF,2,0.261661199392496,-0.104515535987046
ANO6|Q4KMQ2,ANO6,2,0.999998281531585,-0.00310616244515709
ITGA7|Q13683,ITGA7,2,0.973619536575292,0.0169833845708912
DGKG|P49619,DGKG,2,0.00197335873045545,0.100043866260614
WARS1|P23381,WARS1,2,0.99389007520678,0.0143426417061165
PPP2R5A|Q15172,PPP2R5A,2,0.909574443107156,-0.0140470771418609
APCS|P02743,APCS,2,0.223140773690491,0.195459484345138
DIRAS1|O95057,DIRAS1,2,0.999817756536577,-0.00431778958330989
ITGAV|P06756,ITGAV,2,0.180591163636164,0.0431361794444672
HMOX2|A0A087WT44,HMOX2,2,0.489212517503333,0.025778385612263
FBXO41|Q8TF61,FBXO41,2,0.691881371110674,-0.0237822331935933
ATP8A1|Q9Y2Q0,ATP8A1,2,3.24020144049086e-09,0.150294893812004
RPS6KA2|Q15349-2,RPS6KA2,2,1.30678097931547e-06,0.0889748362518247
PI4K2A|Q9BTU6,PI4K2A,2,0.270095738110562,0.0264827311550225
NRXN1|E7ERL8,NRXN1,2,0.00239724248476436,0.0596988719561174
GK|P32189-1,GK,2,0.180425580902096,-0.0330400829107716
GRM3|Q14832,GRM3,2,0.999992987383146,0.00265315579945186
RASSF8|Q8NHQ8,RASSF8,2,0.999642545542918,0.00909885942921529
ITPR2|Q14571,ITPR2,2,0.648482052896549,-0.0381919440541894
ITGB8|P26012,ITGB8,2,0.108209542639126,0.0543329403818815
AK1|P00568,AK1,2,0.00344941932909881,0.0728734968965453
OLFML3|Q9NRN5,OLFML3,2,0.990988851807884,0.0526768192501822
SGTB|Q96EQ0,SGTB,2,0.801040698395041,0.0226070794484279
CPE|P16870,CPE,2,1.84671902613287e-05,0.113562407514602
PLCL2|Q9UPR0,PLCL2,2,0.999999979331385,-0.000498113730683036
SLC38A2|Q96QD8,SLC38A2,2,0.278323257187324,0.131130204720409
GCA|P28676,GCA,2,0.600582243089386,-0.0464427258731446
GSK3B|P49841-2,GSK3B,2,0.949951698878524,-0.0100440120786841
EIF2B2|P49770,EIF2B2,2,0.999896070251214,0.0039574871508017
HPCA|P84074,HPCA,2,0.55208268383044,0.0471514199321394
AC138811.2|H3BN98,AC138811.2,2,0.368196881772269,0.028767837962337
SERPINE2|P07093-3,SERPINE2,2,0.0873712491285143,-0.101207976653673
LRRC75A|Q8NAA5,LRRC75A,2,0.0180510521003627,-0.062602119585996
SLC22A23|C9J4Z0,SLC22A23,2,0.99538336128056,-0.00812790214570325
