"UniqID","GeneName","UniProtID","ENSG","Tissue","Log2_FC","CI_Upr","CI_Lwr","PVal","Cor_PVal"
"DCPS|Q96C86","DCPS","Q96C86","ENSG00000110063","DLPFC",0.0774520190131616,0.127900259645983,0.0270037783803405,0.00285924566275353,0.0285827313021518
"RPL27|P61353","RPL27","P61353","ENSG00000131469","DLPFC",-0.0485720525080239,-0.0169291862472873,-0.0802149187687606,0.0028639138085537,0.0285969740090804
"DNAH2|Q9P225","DNAH2","Q9P225","ENSG00000183914","DLPFC",0.276797325563859,0.460251635379135,0.0933430157485826,0.00357847646325878,0.0331771051278157
"RHOC|Q5JR08","RHOC","Q5JR08","ENSG00000155366","DLPFC",0.0935917748536239,0.154661498822011,0.0325220508852372,0.00291842673343231,0.0289184657885936
"KIAA1109|Q2LD37","KIAA1109","Q2LD37","ENSG00000138688","DLPFC",0.0315642551529841,0.0521353678852279,0.0109931424207403,0.0028746247413392,0.02867145514071
"DPAGT1|Q9H3H5","DPAGT1","Q9H3H5","ENSG00000172269","DLPFC",0.0932683990408067,0.154594101749855,0.0319426963317586,0.00320178193820007,0.0306515866982736
"UNC5B|Q8IZJ1","UNC5B","Q8IZJ1","ENSG00000107731","DLPFC",0.0683634379974661,0.113147982602,0.0235788933929318,0.00305786735482349,0.0297257072408806
"MRPL22|Q9NWU5","MRPL22","Q9NWU5","ENSG00000082515","DLPFC",-0.0576702163210317,-0.0200505527469667,-0.0952898798950966,0.00289990973112551,0.028863917106725
"GNG3|P63215","GNG3","P63215","ENSG00000162188","DLPFC",-0.061324485999013,-0.021318811950019,-0.101330160048007,0.00290144198676254,0.028863917106725
"DIABLO|Q9NR28","DIABLO","Q9NR28","ENSG00000184047","DLPFC",-0.0535094690704917,-0.018599067190424,-0.0884198709505595,0.00290374214286777,0.028863917106725
"MAP2K5|Q13163","MAP2K5","Q13163","ENSG00000137764","DLPFC",-0.140732138182661,-0.0488445697699544,-0.232619706595368,0.00293218877339261,0.0289184657885936
"PDE4B|Q07343","PDE4B","Q07343","ENSG00000184588","DLPFC",-0.0508139259744645,-0.0176379947324812,-0.0839898572164478,0.00292368713429721,0.0289184657885936
"UQCRB|P14927","UQCRB","P14927","ENSG00000156467","DLPFC",-0.0439943912131776,-0.0152679253447527,-0.0727208570816024,0.00292639174684343,0.0289184657885936
"CLEC14A|Q86T13","CLEC14A","Q86T13","ENSG00000176435","DLPFC",-0.0758206385045525,-0.0259850962051059,-0.125656180803999,0.00317401984471546,0.0305183565658192
"RALYL|Q86SE5-3","RALYL","Q86SE5-3","ENSG00000184672","DLPFC",0.0847714819062868,0.14012921916194,0.0294137446506332,0.00292930120195326,0.0289184657885936
"HOMER1|Q86YM7","HOMER1","Q86YM7","ENSG00000152413","DLPFC",-0.066258495099636,-0.0229635838669879,-0.109553406332284,0.00294626164556418,0.0290247920993736
"SEPTIN7|Q16181-2","SEPTIN7","Q16181-2","ENSG00000122545","DLPFC",-0.0309808558907303,-0.0107346043091585,-0.0512271074723021,0.0029496873982261,0.0290261091408031
"FN1|P02751","FN1","P02751","ENSG00000115414","DLPFC",-0.106948689023341,-0.0370356637307771,-0.176861714315906,0.00295822199335787,0.0290776402624708
"PCNT|O95613","PCNT","O95613","ENSG00000160299","DLPFC",0.0468148941207293,0.0774378542514748,0.0161919339899837,0.00297610633955145,0.0291699916049023
"LRRC57|Q8N9N7","LRRC57","Q8N9N7","ENSG00000180979","DLPFC",-0.0473080149679969,-0.0163557773594047,-0.0782602525765891,0.0029821778047217,0.0291699916049023
"CALD1|Q05682","CALD1","Q05682","ENSG00000122786","DLPFC",-0.0801433436464936,-0.0277010436751273,-0.13258564361786,0.00298592948218247,0.0291699916049023
"GPR158|Q5T848","GPR158","Q5T848","ENSG00000151025","DLPFC",-0.0445103366652939,-0.0153836373028554,-0.0736370360277325,0.0029868267317268,0.0291699916049023
"LPGAT1|Q92604","LPGAT1","Q92604","ENSG00000123684","DLPFC",-0.0449582891557992,-0.0155001022985611,-0.0744164760130374,0.00302347911069877,0.0294889549989282
"SKP1|P63208","SKP1","P63208","ENSG00000113558","DLPFC",-0.0500921369741888,-0.0172652864256977,-0.0829189875226798,0.00302770517854603,0.0294975431593816
"ACTR3|P61158","ACTR3","P61158","ENSG00000115091","DLPFC",0.0245078010063889,0.0405800464699931,0.00843555554278468,0.00304803343360081,0.029662815434943
"DNAJC6|O75061-2","DNAJC6","O75061-2","ENSG00000116675","DLPFC",-0.0411172900075731,-0.0141379176407678,-0.0680966623743784,0.00306347349246871,0.0297474072501064
"MAGEE1|Q9HCI5","MAGEE1","Q9HCI5","ENSG00000198934","DLPFC",-0.0934743313627439,-0.031999442638171,-0.154949220087317,0.00314086046524288,0.0303318364973127
"ROCK1|Q13464","ROCK1","Q13464","ENSG00000067900","DLPFC",0.0532447564063376,0.0882465104889697,0.0182430023237056,0.003116998286133,0.0302338546631844
"CRIP2|P52943","CRIP2","P52943","ENSG00000182809","DLPFC",-0.0853232382089811,-0.0292266473248436,-0.141419829093119,0.00312074861990878,0.030236967672237
"MINDY2|Q8NBR6-2","MINDY2","Q8NBR6-2","ENSG00000128923","DLPFC",0.0476169190525359,0.0789303812641007,0.0163034568409711,0.00312739558712158,0.0302681085528551
"MTSS1|O43312","MTSS1","O43312","ENSG00000170873","DLPFC",0.084312541936233,0.139894346283468,0.0287307375889977,0.0032168247637126,0.0307621951644837
"C9orf16|Q9BUW7","C9orf16","Q9BUW7","ENSG00000171159","DLPFC",0.0802921156948111,0.133149070766555,0.0274351606230671,0.00316559923907287,0.0305039218479841
"IMMT|Q16891-2","IMMT","Q16891-2","ENSG00000132305","DLPFC",-0.0380933336984339,-0.0130337920895588,-0.0631528753073091,0.00313767443575074,0.0303318364973127
"PRPSAP1|Q14558-2","PRPSAP1","Q14558-2","ENSG00000161542","DLPFC",-0.0328650694656564,-0.0112334600059241,-0.0544966789253888,0.00315314536031217,0.0304171582515015
"PHACTR1|Q9C0D0","PHACTR1","Q9C0D0","ENSG00000112137","DLPFC",-0.062815432844677,-0.0214440179728011,-0.104186847716553,0.00317217961720047,0.0305183565658192
"MFSD6|H7C0X2","MFSD6","H7C0X2","ENSG00000151690","DLPFC",0.0700473921343717,0.116204554886456,0.0238902293822874,0.00318663188940891,0.0305850250159303
"PNPT1|Q8TCS8","PNPT1","Q8TCS8","ENSG00000138035","DLPFC",-0.0305546179952069,-0.0104190898490596,-0.0506901461413541,0.00318913883464137,0.0305850250159303
"LRTM2|Q8N967","LRTM2","Q8N967","ENSG00000166159","DLPFC",-0.0647110381816606,-0.0220145531644336,-0.107407523198888,0.00322892612951049,0.0308110840734784
"BLVRB|P30043","BLVRB","P30043","ENSG00000090013","DLPFC",0.0680999919311254,0.112981118438604,0.0232188654236469,0.00319136021488668,0.0305850250159303
"CAMKK2|Q96RR4","CAMKK2","Q96RR4","ENSG00000110931","DLPFC",-0.075514570156877,-0.0256850431130756,-0.125344097200678,0.00322821722464445,0.0308110840734784
"CD99|P14209","CD99","P14209","ENSG00000002586","DLPFC",0.158489482933163,0.263129751891618,0.0538492139747081,0.00324489418868338,0.0309299806071582
"AC011462.1|F5H5P2","AC011462.1","F5H5P2","ENSG00000255730","DLPFC",-0.052597917473923,-0.017865230110718,-0.0873306048371279,0.00324982272079151,0.030943506403044
"YARS1|P54577","YARS1","P54577","ENSG00000134684","DLPFC",-0.0374188292960883,-0.0127039906497456,-0.062133667942431,0.00325642883587483,0.0309729590570748
"CSPG5|O95196","CSPG5","O95196","ENSG00000114646","DLPFC",-0.0776481524134901,-0.0263389007898267,-0.128957404037153,0.00327021928064901,0.0310706071093559
"TAX1BP3|O14907","TAX1BP3","O14907","ENSG00000213977","DLPFC",0.0827730748125342,0.137487213266272,0.0280589363587964,0.00328035664009571,0.0311245402228597
"ATP8A2|Q9NTI2","ATP8A2","Q9NTI2","ENSG00000132932","DLPFC",0.0376416492318968,0.0625255578627375,0.0127577406010561,0.0032829559268753,0.0311245402228597
"PRKG1|Q13976-2","PRKG1","Q13976-2","ENSG00000185532","DLPFC",0.0659655715801688,0.109583181327301,0.0223479618330362,0.0032896920741123,0.0311297578754521
"ASPHD1|Q5U4P2","ASPHD1","Q5U4P2","ENSG00000174939","DLPFC",-0.173147933884373,-0.0586561287968753,-0.287639738971871,0.00329056757853253,0.0311297578754521
"ACOT7|O00154","ACOT7","O00154","ENSG00000097021","DLPFC",-0.053578984662604,-0.0181293225692488,-0.0890286467559593,0.00330877617595974,0.0312684668204041
"GRIN1|Q5VSF9","GRIN1","Q5VSF9","ENSG00000176884","DLPFC",-0.115399491558429,-0.0378949129452665,-0.192904070171592,0.00392422802928516,0.0354144509050228
