peptide,gene_short_name,state,pvalue,effect
DGKG|P49619,DGKG,2,0.902464474938618,-0.0281247835958782
WARS1|P23381,WARS1,2,0.0595962300402867,-0.0851163450355408
PPP2R5A|Q15172,PPP2R5A,2,0.836468122825075,-0.0196395746479635
APCS|P02743,APCS,2,0.999998238441436,0.00821426458332386
DIRAS1|O95057,DIRAS1,2,0.167325659752281,-0.0561422615289179
ITGAV|P06756,ITGAV,2,0.996133295883082,-0.0088064493742844
HMOX2|A0A087WT44,HMOX2,2,0.00484066308571507,-0.0836098843079042
FBXO41|Q8TF61,FBXO41,2,0.997947253908571,-0.00723909166062583
ATP8A1|Q9Y2Q0,ATP8A1,2,0.000218175149719779,-0.132021837410034
RPS6KA2|Q15349-2,RPS6KA2,2,0.0304260380358335,-0.0550381506553706
PI4K2A|Q9BTU6,PI4K2A,2,0.806707558142567,0.0210094711981778
NRXN1|E7ERL8,NRXN1,2,0.99026145257486,-0.00973105866235902
GK|P32189-1,GK,2,0.860037131287634,0.0204845056577811
GRM3|Q14832,GRM3,2,0.510864424972647,-0.041217444645659
RASSF8|Q8NHQ8,RASSF8,2,0.66576115266083,0.0564952393407024
ITPR2|Q14571,ITPR2,2,0.585193418764368,0.0415331854383989
ITGB8|P26012,ITGB8,2,0.99882614487146,-0.00816658572988471
AK1|P00568,AK1,2,0.418066152357341,-0.0396388495575635
OLFML3|Q9NRN5,OLFML3,2,0.106485803302042,0.348566170593341
SGTB|Q96EQ0,SGTB,2,0.953906090990422,-0.018337313405523
CPE|P16870,CPE,2,0.0892698222932514,-0.0821720632191972
PLCL2|Q9UPR0,PLCL2,2,0.106593658028971,-0.0467935901428448
SLC38A2|Q96QD8,SLC38A2,2,0.977371021592745,-0.0583532882004182
GCA|P28676,GCA,2,0.986016691183653,-0.0226115564989505
GSK3B|P49841-2,GSK3B,2,0.176100364137919,-0.0406535203013425
EIF2B2|P49770,EIF2B2,2,0.999922568859049,0.0035637311062056
HPCA|P84074,HPCA,2,0.26027157851349,-0.0844094962369198
AC138811.2|H3BN98,AC138811.2,2,0.738467334440368,-0.032152923878953
SERPINE2|P07093-3,SERPINE2,2,0.976231938611676,0.0305425772066789
LRRC75A|Q8NAA5,LRRC75A,2,0.999934367069386,0.00372341326267642
SLC22A23|C9J4Z0,SLC22A23,2,0.999996325622454,-0.00122858283031704
SESN1|Q9Y6P5-2,SESN1,2,0.999606033967107,-0.0107923406653528
KCNN3|A0A087WYJ0,KCNN3,2,0.907096978650955,-0.0252648298610111
FBXL16|Q8N461,FBXL16,2,0.570413708190675,-0.0372323124774901
NPTX2|P47972,NPTX2,2,0.996888217305026,-0.0253687738091862
RPS5|M0R0F0,RPS5,2,0.999004302232633,0.00683133613889222
KIF5A|Q12840,KIF5A,2,0.911798412521063,0.026184511507351
PLCD3|Q8N3E9,PLCD3,2,0.832655830367683,0.0341784772154032
LRPPRC|P42704,LRPPRC,2,0.999998278632461,0.00130195705382201
VAC14|Q08AM6,VAC14,2,0.0998862144776776,-0.0471079095599454
UPF3B|Q9BZI7,UPF3B,2,0.999608472618891,-0.00554358447033698
ADGRG1|Q9Y653,ADGRG1,2,0.998938126593801,0.0139569144367667
LGI4|Q8N135,LGI4,2,0.435966187237049,0.050084540608018
C18orf32|Q8TCD1,C18orf32,2,0.276279389078229,-0.0611974210081437
ENTPD2|Q9Y5L3,ENTPD2,2,0.996367627013971,-0.0289579332258962
LRP1|Q07954,LRP1,2,0.999997957216507,0.000921530081810819
BBOX1|O75936,BBOX1,2,0.96220990630789,-0.0388841171114936
RPS6KA5|O75582,RPS6KA5,2,0.999999929731409,-0.000919084389458646
TRIM9|Q9C026-4,TRIM9,2,0.916216539306331,-0.0199578942496217
SEPTIN7|Q16181,SEPTIN7,2,0.320942774849775,-0.0820805087691766
NF1|P21359-6,NF1,2,0.483190258634739,-0.0294021177091143
IRGQ|Q8WZA9,IRGQ,2,0.967181907347441,-0.0151035425960229
PPEF1|O14829,PPEF1,2,0.949238526087095,-0.0430988699619719
NOCT|Q9UK39,NOCT,2,0.95764472148305,0.0291465091394263
BCKDHB|P21953,BCKDHB,2,0.496127735396001,-0.0488753178126972
IGFBP5|P24593,IGFBP5,2,0.150537775645402,-0.119961516687038
FDFT1|P37268,FDFT1,2,0.997519817274995,-0.0186097988800032
RPS3|P23396,RPS3,2,0.424456068894644,-0.0346976879406175
ASAP1|Q9ULH1,ASAP1,2,0.993330233907551,-0.00857516278690923
CDK17|Q00537,CDK17,2,0.776505976728472,-0.0240451296952145
MGLL|Q99685,MGLL,2,0.830110190549792,0.0485244162412685
GNG12|Q9UBI6,GNG12,2,0.995750792986455,-0.0144295443540438
SPON1|Q9HCB6,SPON1,2,0.648667241433549,0.0450105999397966
SDC4|P31431,SDC4,2,0.994959816133933,-0.0272708062791245
CSK|P41240,CSK,2,0.789423496763628,-0.0160984061710832
ARMC8|Q8IUR7,ARMC8,2,0.0498308492097724,-0.0625332530172644
TAGLN3|Q9UI15,TAGLN3,2,0.00167207746057596,-0.094151580661942
ACTN4|K7EJH8,ACTN4,2,0.00357083732830255,-0.207797072604056
ARHGEF2|V9GYM8,ARHGEF2,2,0.745852778124666,0.0235133378846667
TTL|Q8NG68,TTL,2,0.356680373350504,-0.0623826929317802
SLC25A46|Q96AG3,SLC25A46,2,0.950272511560699,-0.0163455718620781
DHRS7B|A0A0C4DGQ8,DHRS7B,2,0.994802619726109,-0.0115310983988146
RAB27B|O00194,RAB27B,2,0.303071884278133,-0.125607630454417
MACROD1|Q9BQ69,MACROD1,2,0.916579120362292,-0.0348231469238532
PPP1CA|P62136,PPP1CA,2,0.0720120374560529,-0.0624411648696812
NDRG2|Q9UN36,NDRG2,2,0.999983322495631,0.00399296867414818
CYRIB|Q9NUQ9,CYRIB,2,0.164101256576048,-0.0423144864554807
RPL27A|P46776,RPL27A,2,0.999999999929867,-0.000116333230010979
SGIP1|Q9BQI5,SGIP1,2,0.861753846175496,-0.0169657496938216
MAPK1|P28482,MAPK1,2,0.0164220794631679,-0.0874470847327398
RASGRF1|Q13972,RASGRF1,2,0.882238601594634,0.0242234926940695
S100A6|P06703,S100A6,2,0.650472012879442,-0.080290499729233
IDH2|P48735,IDH2,2,0.184635405234866,-0.063252572158297
RAB3B|P20337,RAB3B,2,0.00318048311325114,-0.213363976974592
LRRC4B|Q9NT99,LRRC4B,2,0.999988969231044,0.00205690229646373
MIGA1|Q8NAN2,MIGA1,2,0.999999653033832,0.00107412611520874
PDE4A|P27815,PDE4A,2,0.994172758530329,-0.00716740781612248
GNB5|O14775,GNB5,2,0.496276389298725,-0.0327286450023085
AGPAT1|Q99943,AGPAT1,2,0.197085630754322,-0.0424898318259925
SST|P61278,SST,2,0.339459251542582,-0.130371144663305
CD44|P16070,CD44,2,0.999959271062956,0.013334302787644
PLCD1|P51178-2,PLCD1,2,0.999999999129271,0.000253738326886965
RPS3A|P61247,RPS3A,2,0.999999980140348,0.000259269626875759
CNST|Q6PJW8,CNST,2,0.999985971928712,0.00270525364523242
NAT8L|Q8N9F0,NAT8L,2,0.659188545709392,-0.0392620713213449
QPRT|Q15274,QPRT,2,0.996149251243402,0.022490295951396
GPCPD1|Q9NPB8,GPCPD1,2,0.588813729277093,0.0579752920924711
CLPTM1|O96005,CLPTM1,2,0.914852519538414,-0.0187426120884185
PPP5C|H0YDU8,PPP5C,2,0.00404435359740418,-0.0613820309773174
SPRED3|Q2MJR0,SPRED3,2,0.999103880846301,0.0162994635591737
BDH1|Q02338,BDH1,2,0.776150984158047,0.0456269191042558
RPL3|P39023,RPL3,2,0.152736859507186,-0.0537580333587892
AAK1|Q2M2I8,AAK1,2,0.00727826769147311,-0.0547479204914929
CYRIA|Q9H0Q0,CYRIA,2,0.0242549448421637,-0.0807212450563764
ESD|P10768,ESD,2,0.11534670368038,-0.0603104824784592
NT5DC1|Q5TFE4,NT5DC1,2,0.555296029732486,-0.0684565260297699
STK39|Q9UEW8,STK39,2,0.344060605393747,-0.045269429939863
KIAA1107|Q9UPP5-2,KIAA1107,2,0.964778276460524,0.0145636350653191
DNM1L|O00429-6,DNM1L,2,0.00601520616788509,-0.0587124238755269
FADS2|O95864,FADS2,2,0.9595572254098,0.0525614873562284
PRPS2|P11908,PRPS2,2,0.872159826188648,0.0311374804062154
SNX27|Q96L92,SNX27,2,0.977101959617314,-0.00792672296655628
PDHA1|P08559,PDHA1,2,0.0349297348108937,-0.0595992188640128
BTN3A3|O00478,BTN3A3,2,0.889427880804723,0.0369980580227883
UGGT1|Q9NYU2,UGGT1,2,0.125128044740146,-0.0336321849299624
MRPL2|Q5T653,MRPL2,2,0.350013518620046,0.0563773250654946
ERI3|O43414,ERI3,2,0.00197666557475384,-0.142225380333647
FAM117B|Q6P1L5,FAM117B,2,0.971522570612432,-0.0190383816636183
OLFM1|Q99784,OLFM1,2,0.997791358694969,-0.00790138651204242
